cyanoethyl,cyanoethyl_std,full_length_product,full_length_product_std,n+1,n+1_std,n-1,n-1_std,other_impurity,other_impurity_std,pure_yield,pure_yield_left,pure_yield_right,pure_yield_std,synthesis_id
2.2005730616482975,0.3304586863033961,66.94446387389894,2.6494958626385507,3.455594993638405,1.8418679142098617,3.627929259239208,1.6114623479536463,0.04823791237473863,0.18585324323583952,32.19937942422627,32.07216012652699,32.32659872192557,2.310162776785979,1
2.070642476488105,0.32461705908282074,77.3065417249338,2.650519519480605,2.208966194747822,1.6148407138578789,2.0552241347722506,1.4155056986475196,0.0043136794992435275,0.03501806273590756,32.75482766312931,33.00315734081143,32.5064979854472,2.5165684637574812,2
2.153703655793574,0.29558097274879763,70.0744651857405,2.719915443356171,2.5244755228276468,1.7649369893954152,2.4599563920738463,1.4423852113888054,0.13859799690291208,0.26232632868473615,26.431237493403344,26.687268612909126,26.175206373897595,2.331140275662091,3
1.631275585687953,0.35280392148370315,83.31348650420834,3.252846729247872,1.449001086918682,1.3683998000279516,1.6179987277196448,1.3615800228579673,0.08639000563166256,0.21720815870335664,36.59689083817515,36.86337452048881,36.33040715586149,2.5904597703691294,4
1.8999831385295212,0.3180291202846943,79.14952266681799,2.8529974512463934,1.6645872600057963,1.5471276960437117,2.3286618535582546,1.402435667380841,0.13935299766296855,0.2800015580065168,23.218476104053305,23.451602815928666,22.98534939217794,2.6714619728065405,5
2.036103894685517,0.36082974564353654,80.01817112982802,3.440411041807851,1.9757480516932653,1.6993462962528791,1.9741652934074574,1.4488272414327816,1.4208098375405806e-07,9.947424481441769e-07,27.24827772497832,27.024668923583576,27.471886526373044,2.6190703177603574,6
1.8068264211801432,0.35832453317041796,86.07662241894131,2.6257819655502495,1.4774973845518342,1.5656513347515706,1.511839705284351,1.298810824253884,0.0028389740462433453,0.023827106576522313,32.58778464601936,32.680802356931395,32.494766935107336,2.091419884170604,7
2.1467479469405943,0.32560053520797966,82.4661064336876,3.014630611851718,1.8094249927630779,1.6244721192794114,1.9951507499013872,1.5143133296794729,0.013543931955194757,0.10279067446202818,29.524818801249236,29.735236525992104,29.31440107650634,2.4417352364042464,8
2.299666041412759,0.3157047794707166,79.77581268015483,3.241491319406303,1.8638544601916005,1.635276511721487,2.141034230556847,1.4397731481654488,0.04334192553302835,0.18775554888603516,38.14207383149034,38.35910861598834,37.925039046992296,2.4750559647302453,9
2.2530674793500807,0.3287130035395617,82.19707344072256,2.639170300622908,2.136209968334945,1.8945830292319683,1.6224771486251182,1.4779716154427056,0.03889618913483352,0.14009689242280074,30.54132002222992,30.109331619354847,30.973308425104964,2.575672988528335,10
1.424570263124058,0.2832149206637366,81.9452286808756,2.97799554412497,1.870657119748584,1.5699463435263616,1.6353430232064916,1.4264229732297675,0.04847941566256664,0.19412584488915907,29.266384875443297,29.62595641972597,28.906813331160667,2.3866404598070505,11
2.0734997501161034,0.31360708509768664,79.95189920584134,2.866473607115485,2.3601904583497033,1.9888058326178393,2.0796128484515917,1.5186817019545422,0.020221693238523932,0.12148895236275321,30.042723175062378,29.903107023240477,30.182339326884257,2.7417610855251997,12
1.8673481793560283,0.32023068178174574,76.17940328113217,2.4069806708399346,2.407772355406901,1.9657750198922057,2.4742178180605996,1.4759899206626623,0.022764608621247507,0.12529515921959578,26.401807108175216,26.39094620811156,26.412668008238892,2.645677406428839,13
2.337561173242257,0.33235553719233335,79.72087463950139,2.4995683679407845,2.2937712926257756,1.8606554454264097,2.1582070003289995,1.4637900816571168,0.015612568903912098,0.10813974419550974,31.331672295613995,31.23946218449301,31.423882406734965,2.8212016590701707,14
2.2632459265442852,0.2976485843796471,79.48549098862095,2.7738851014393187,1.9988674816069238,1.615381650442476,2.1048970868273806,1.4540414799315657,0.17415219470393342,0.297065571973449,36.88094676411652,36.83607396474346,36.92581956348965,2.2494639936820824,15
2.11889138961952,0.30763366009791754,78.22131389206817,2.572656561972685,1.9815754866329114,1.728754523366608,2.4819126994794787,1.5418805224867502,0.06209861660598167,0.13767907268629914,25.012571932616904,25.189578798447894,24.835565066785932,2.322448038745851,16
1.8513463698707495,0.34860052483081466,84.0815289396945,2.488252965671236,1.7006047963522646,1.7093660130001975,1.5885569495429934,1.2280065668209081,0.006838900485969419,0.04682450437209759,31.817664602264653,32.2553975751444,31.37993162938491,2.5004584162740864,17
